chrom,donor,acceptor,intron_length,read_count
chr1,153745557,153745668,111,6
chr1,153963278,153963590,312,26
chr1,153963699,153964041,342,42
chr1,153964152,153964540,388,57
chr1,154130197,154142875,12678,17
chr1,154142945,154143124,179,13
chr1,154143187,154144504,1317,13
chr1,154144580,154145383,803,23
chr1,154145454,154145559,105,20
chr1,154145677,154148590,2913,10
chr1,154148724,154155463,6739,19
chr1,154207235,154207671,436,7
chr1,154207767,154209041,1274,9
chr1,154209612,154213988,4376,5
chr1,154218851,154221714,2863,5
chr1,155237917,155238083,166,5
chr1,155265359,155265455,96,5
chr1,155288544,155288646,102,5
chr1,155289719,155290199,480,8
chr1,155658965,155679563,20598,6
chr1,155686919,155691307,4388,6
chr1,155695281,155695717,436,5
chr1,155697529,155698832,1303,5
chr1,155698913,155698998,85,14
chr1,155699157,155701146,1989,7
chr1,155701206,155701734,528,5
chr1,155706854,155707947,1093,11
chr1,155792267,155796627,4360,5
chr1,155885755,155886415,660,5
chr1,155899166,155899502,336,6
chr1,156085065,156100407,15342,5
chr1,156100564,156104193,3629,7
chr1,156104319,156104595,276,5
chr1,156280986,156281831,845,6
chr1,156282012,156286956,4944,5
chr1,156288808,156290629,1821,10
chr1,156303434,156304503,1069,6
chr1,156514264,156517864,3600,5
chr1,156713247,156713443,196,16
chr1,156713670,156713954,284,21
chr1,156714140,156714799,659,10
chr1,156714938,156715088,150,16
chr1,156715165,156721134,5969,6
chr1,158581179,158582606,1427,5
chr1,158582751,158583510,759,13
chr1,158596797,158597414,617,9
chr1,158609797,158612200,2403,5
chr1,158614186,158614977,791,5
chr1,158621258,158622256,998,5
chr1,158627484,158631076,3592,8
chr1,158636287,158637647,1360,5
chr1,158648324,158650372,2048,7
chr1,158650519,158651316,797,5
chr1,158653286,158654897,1611,6
chr1,160201197,160206924,5727,5
chr1,160264383,160264557,174,5
chr1,160264647,160265525,878,17
chr1,160265939,160267132,1193,6
chr1,160303469,160305031,1562,5
chr1,161071961,161072076,115,5
chr1,161180500,161182140,1640,5
chr1,161761327,161761913,586,5
chr1,162482366,162482514,148,6
chr1,162482613,162487891,5278,7
chr1,162536138,162546566,10428,5
chr1,162549393,162551076,1683,11
chr1,162551249,162557264,6015,11
chr1,162558623,162560112,1489,6
chr1,163309267,163310153,886,8
chr1,163310216,163313522,3306,6
chr1,163313660,163315467,1807,11
chr1,163315608,163317552,1944,9
chr1,163317728,163318734,1006,6
chr1,163318870,163325124,6254,6
chr1,165721406,165723464,2058,7
chr1,165723511,165728761,5250,11
chr1,165728821,165737428,8607,6
chr1,167887597,167889216,1619,6
chr1,167962678,167971719,9041,5
chr1,167971813,167973107,1294,6
chr1,168012378,168013822,1444,6
chr1,168013909,168014137,228,6
chr1,168037701,168044608,6907,8
chr1,168160738,168165784,5046,6
chr1,169819486,169820957,1471,5
chr1,171481339,171482133,794,10
chr1,171482311,171483674,1363,9
chr1,171483784,171484872,1088,7
chr1,171492493,171492573,80,7
chr1,171492661,171493959,1298,5
chr1,171502100,171504566,2466,13
chr1,171504736,171505167,431,10
chr1,171505417,171506401,984,6
chr1,171511368,171514617,3249,9
chr1,171514826,171519224,4398,8
chr1,171519379,171526378,6999,15
chr1,171530242,171535371,5129,5
chr1,172538282,172539186,904,11
chr1,172560211,172569203,8992,5
chr1,173446631,173450464,3833,5
chr1,173454646,173455393,747,13
chr1,173455540,173456873,1333,18
chr1,173833213,173833394,181,27
chr1,173833442,173833621,179,30
chr1,173833644,173833812,168,30
chr1,173833842,173834366,524,33
chr1,173834420,173834647,227,30
chr1,173834420,173834608,188,16
chr1,173834685,173834994,309,30
chr1,173835032,173835314,282,34
chr1,173835344,173835665,321,75
chr1,173835705,173835898,193,74
chr1,173835934,173836128,194,58
chr1,173836181,173837097,916,38
chr1,174975977,174976233,256,8
chr1,174977842,174979058,1216,16
chr1,176104222,176105623,1401,6
chr1,176118210,176132004,13794,7
chr1,178995233,179012849,17616,5
chr1,179311327,179311996,669,6
chr1,179959756,179961196,1440,6
chr1,179975702,179981063,5361,6
chr1,179981210,179982981,1771,8
chr1,180031501,180034249,2748,5
chr1,180044356,180047597,3241,7
chr1,180068120,180080131,12011,5
chr1,180366740,180382500,15760,9
chr1,180382606,180399314,16708,9
chr1,180399397,180461403,62006,6
chr1,182353858,182354491,633,16
chr1,182355022,182355390,368,10
chr1,182355537,182356265,728,8
chr1,182356427,182357706,1279,6
chr1,182357885,182360813,2928,8
chr1,182808591,182811679,3088,6
chr1,182812569,182821367,8798,6
chr1,182822553,182823164,611,6
chr1,182827775,182827867,92,5
chr1,182845676,182845964,288,5
chr1,182850560,182850654,94,6
chr1,184859356,184863208,3852,7
chr1,185056772,185060710,3938,5
chr1,185062408,185067203,4795,5
chr1,185267420,185268841,1421,5
chr1,185269015,185269130,115,5
chr1,186283158,186283760,602,11
chr1,186283856,186286613,2757,15
chr1,186291544,186291649,105,11
chr1,186294986,186295235,249,15
chr1,186295367,186296591,1224,12
chr1,186296792,186300629,3837,5
chr1,186300713,186301326,613,7
chr1,186303665,186304199,534,11
chr1,186304261,186304469,208,7
chr1,186304675,186305627,952,8
chr1,186305826,186306144,318,6
chr1,186306288,186307164,876,8
chr1,186307375,186308773,1398,6
chr1,186308904,186310159,1255,9
chr1,186310291,186310383,92,17
chr1,186310521,186312457,1936,11
chr1,186312605,186313037,432,7
chr1,186313222,186313506,284,11
chr1,186314828,186315266,438,9
chr1,186315419,186316423,1004,5
chr1,186316590,186319354,2764,5
chr1,186319520,186320461,941,9
chr1,186320602,186321107,505,12
chr1,186321242,186322819,1577,6
chr1,186322982,186324541,1559,7
chr1,186324690,186324766,76,9
chr1,186325581,186326528,947,10
chr1,186326755,186327674,919,6
chr1,186329496,186329896,400,9
chr1,186330037,186330753,716,10
chr1,186330841,186330920,79,9
chr1,186331001,186331419,418,10
chr1,186331512,186331968,456,13
chr1,186332577,186337017,4440,7
chr1,186337114,186340101,2987,8
chr1,186340175,186342490,2315,5
chr1,186342595,186344009,1414,6
chr1,192985525,192990226,4701,19
chr1,192990325,192992055,1730,12
chr1,192992166,192992973,807,6
chr1,192992169,192992973,804,11
chr1,192993076,192997214,4138,7
chr1,192997278,192998308,1030,6
chr1,192998579,192998661,82,5
chr1,192998787,193018875,20088,6
chr1,193020947,193028314,7367,10
chr1,193045777,193046042,265,5
chr1,193117095,193119433,2338,5
chr1,193181230,193181519,289,7
chr1,197074315,197086918,12603,6
chr1,197094321,197097619,3298,6
chr1,197098447,197099044,597,5
chr1,197099186,197101414,2228,5
chr1,197109001,197111460,2459,10
chr1,197112940,197113086,146,12
chr1,198703554,198704255,701,5
chr1,198713332,198717237,3905,6
chr1,198718678,198719620,942,5
chr1,200530008,200534196,4188,5
chr1,200550422,200555228,4806,7
chr1,200555355,200558344,2989,9
chr1,200558497,200559252,755,6
chr1,200559400,200561207,1807,13
chr1,200567549,200569177,1628,9
chr1,200569241,200569483,242,9
chr1,200578056,200583445,5389,8
chr1,200583533,200584482,949,7
chr1,200584737,200586739,2002,10
chr1,201825062,201826223,1161,11
chr1,201924680,201926408,1728,6
chr1,201926702,201932743,6041,5
chr1,202301088,202302137,1049,8
chr1,202711633,202711782,149,5
chr1,202715451,202718072,2621,8
chr1,202731936,202733176,1240,12
chr1,202742416,202743740,1324,5
chr1,202915738,202917431,1693,5
chr1,202917548,202920057,2509,6
chr1,203772144,203786053,13909,7
chr1,203786252,203787697,1445,6
chr1,203797550,203798578,1028,5
chr1,203799024,203799250,226,7
chr1,203799331,203800788,1457,12
chr1,203802981,203807093,4112,7
chr1,203807192,203809433,2241,5
chr1,203809502,203816311,6809,9
chr1,203816815,203817458,643,10
chr1,203817535,203818838,1303,13
chr1,203819154,203819642,488,5
chr1,203819809,203820184,375,6
chr1,203834247,203839004,4757,7
chr1,204512072,204513662,1590,5
chr1,204513812,204515924,2112,7
chr1,205057943,205064000,6057,5
chr1,205066523,205068116,1593,6
chr1,205588201,205589093,892,6
chr1,205687607,205688654,1047,21
chr1,205688804,205689628,824,28
chr1,205689781,205693053,3272,22
chr1,205693109,205696827,3718,14
chr1,207495912,207497903,1991,7
chr1,207498095,207498966,871,6
chr1,207504641,207510037,5396,7
chr1,207940540,207941123,583,5
chr1,207943707,207956636,12929,7
chr1,207959027,207966863,7836,7
chr1,207959027,207963597,4570,6
chr1,207963690,207966863,3173,8
chr1,211452658,211462519,9861,5
chr1,211840573,211842454,1881,13
chr1,211847065,211847637,572,13
chr1,212190365,212193463,3098,5
chr1,212530018,212530291,273,6
chr1,212530411,212530498,87,7
chr1,212532129,212533979,1850,10
chr1,214776664,214787056,10392,6
chr1,214787259,214788174,915,5
chr1,214788371,214791915,3544,10
